,name,roomname,homepage,location,price,ranking,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy,people_stadard,max_standard
15,메이플 글램핑 카라반 1호점,1,1,1,251500,4.91,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,15,16,0,0,8,0,62,0,0,0,0,0,12,0,0,12,57,0,0,12,0,0,55,0,64,47,7,0,16,1,11,0,2,3
16,메이플 글램핑 카라반 1호점,1,1,1,186500,4.91,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,4
17,메이플 글램핑 카라반 1호점,1,1,1,181500,4.91,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,2,1,1,0,1,0,0,0,2,4
18,메이플 글램핑 카라반 1호점,1,1,1,236500,4.91,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,21,19,1,0,13,0,52,0,0,0,0,1,10,0,1,17,53,0,0,16,0,0,50,0,54,45,11,0,19,12,13,0,3,5
19,메이플 글램핑 카라반 1호점,1,1,1,246500,4.91,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12,20,0,0,7,0,23,0,0,1,0,0,12,1,1,9,30,0,0,8,1,0,20,0,34,15,6,0,16,4,11,0,3,4
20,메이플 글램핑 카라반 1호점,1,1,1,219000,4.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,2,1,9,0,0,0,1,0,4,0,0,8,7,0,0,14,0,0,3,0,7,7,6,1,8,3,2,0,2,3
21,동화힐링캠프 글램핑,1,1,0,333500,4.42,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0,0,3,1,37,0,1,22,0,0,36,0,27,8,5,0,0,15,0,0,13,0,24,0,9,0,28,0,8,0,2,6
22,동화힐링캠프 글램핑,1,1,0,403500,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,49,0,0,10,0,49,0,0,22,0,0,25,0,44,21,18,0,0,30,0,0,17,0,50,1,3,1,32,1,14,0,2,6
23,동화힐링캠프 글램핑,1,1,0,403500,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,11,0,0,5,0,11,0,0,3,0,0,8,0,7,2,3,0,0,1,0,0,5,0,11,0,2,0,10,0,1,0,2,4
24,동화힐링캠프 글램핑,1,1,0,332000,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,8,0,0,1,0,7,0,0,2,0,0,5,0,7,4,5,0,0,9,0,0,4,0,4,1,0,0,5,0,0,0,2,6
