name,roomname,homepage,location,price,ranking,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy,people_stadard,max_standard
더설렘글램핑,"당일 치기 오두막 (숙박 불가, 랜덤 배정)",1,경기 포천시 일동면 윗갈기1길 60 더설렘글램핑,125000,4.84,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6
파인벨리 럭셔리 글램핑 3호점,3호점 프리미엄글램핑 [숙박],1,경기 포천시 화현면 봉화로 315-108,226750,4.8,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,125,155,133,0,0,2,199,0,0,1,0,1,0,73,175,0,0,0,69,58,0,0,107,16,129,0,0,140,111,18,0,0,2,4
씨엘관광농원글램핑,글램핑A-1,1,경기 안산시 단원구 대부황금로 976,147500,3.89,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,2,0,0,0,0,4,3,3,0,2,0,1,0,2,4
씨엘관광농원글램핑,글램핑A-2,1,경기 안산시 단원구 대부황금로 976,147500,4.4,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,3,0,2,0,2,0,0,0,0,0,2,4
씨엘관광농원글램핑,글램핑A-3,1,경기 안산시 단원구 대부황금로 976,147500,4.03,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,8,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,9,0,0,1,0,0,1,3,0,4,2,2,0,2,4
씨엘관광농원글램핑,글램핑A-4,1,경기 안산시 단원구 대부황금로 976,147500,3.9,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4,2,0,0,0,0,3,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,1,0,2,0,3,0,3,1,0,0,2,4
씨엘관광농원글램핑,글램핑A-5,1,경기 안산시 단원구 대부황금로 976,147500,4.09,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,9,0,0,0,0,2,0,0,0,0,0,5,0,0,6,4,0,0,5,0,0,2,0,3,0,2,0,6,0,0,0,2,4
씨엘관광농원글램핑,글램핑A-6,1,경기 안산시 단원구 대부황금로 976,147500,3.64,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,2,4
씨엘관광농원글램핑,글램핑A-7,1,경기 안산시 단원구 대부황금로 976,147500,4.03,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,7,0,0,0,0,5,0,0,0,0,0,7,0,0,1,1,0,0,4,0,0,2,0,2,0,5,0,3,1,0,0,2,4
씨엘관광농원글램핑,글램핑A-8,1,경기 안산시 단원구 대부황금로 976,147500,3.37,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,3,0,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,2,4
